"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\loves.yml", "YAML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\reviews.yml", "YAML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\tours.yml", "YAML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"c:\Users\kenz\3D Objects\geekcycle\test\fixtures\users.yml", "YAML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 2, 12
"c:\Users\kenz\3D Objects\geekcycle\test\models\camp_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\comment_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\like_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\love_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\review_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\tour_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\models\user_test.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\test\test_helper.rb", "Ruby", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 14
"Total", "-", 724, 815, 114, 229, 17, 13, 232, 132, 182, 923, 654, 4035
